Alquiler[tipodeCarro='SUV', sedeEntrega=Sede[nombreSede='AGUAS', ubicacion=CLL2, horariosAtencion=8:00-18:00], cliente=Cliente[nombre='dasdasdsa', telefono=dsadas, fechadeNacimiento=dsadasdsa, nacionalidad=dasdas, documentodeIdentidad=dsadas, datosLicencia=DatosLicencia[numeroLicencia='dasdsa', paisExp=dsadas, imagenLicencia=dasdas, fechadeVencimiento=dsadas], datosTarjetaCredito=DatosTarjetaCredito[numeroTarjeta='12345', fechaVencimiento=2021, cvv=388, banco=bancolombia]], conductorAdicional=null, sedeDevolucion=Sede[nombreSede='AGUAS', ubicacion=CLL2, horariosAtencion=8:00-18:00], dias=4, seguro='1']
Alquiler[tipodeCarro='SUV', sedeEntrega=Sede[nombreSede='COLINA', ubicacion=CLL134, horariosAtencion=8:00-18:00], cliente=Cliente[nombre='dasdas', telefono=dasdas, fechadeNacimiento=dasdas, nacionalidad=dasdas, documentodeIdentidad=dasdas, datosLicencia=DatosLicencia[numeroLicencia='dsadas', paisExp=dsadas, imagenLicencia=dasdas, fechadeVencimiento=dasdas], datosTarjetaCredito=DatosTarjetaCredito[numeroTarjeta='12345', fechaVencimiento=2027, cvv=543, banco=Nequi]], conductorAdicional=null, sedeDevolucion=Sede[nombreSede='COLINA', ubicacion=CLL134, horariosAtencion=8:00-18:00], dias=4, seguro='1']
Alquiler[tipodeCarro='SUV', sedeEntrega=Sede[nombreSede='PRADO', ubicacion=CLL127, horariosAtencion=8:00-18:00], cliente=Cliente[nombre='1', telefono=1, fechadeNacimiento=1, nacionalidad=1, documentodeIdentidad=1, datosLicencia=DatosLicencia[numeroLicencia='1', paisExp=1, imagenLicencia=1, fechadeVencimiento=1], datosTarjetaCredito=DatosTarjetaCredito[numeroTarjeta='1', fechaVencimiento=1, cvv=1, banco=1]], conductorAdicional=null, sedeDevolucion=Sede[nombreSede='PRADO', ubicacion=CLL127, horariosAtencion=8:00-18:00], dias=1, seguro='1']
Alquiler[tipodeCarro='SUV', sedeEntrega=Sede[nombreSede='PRADO', ubicacion=CLL127, horariosAtencion=8:00-18:00], cliente=Cliente[nombre='1', telefono=1, fechadeNacimiento=1, nacionalidad=1, documentodeIdentidad=1, datosLicencia=DatosLicencia[numeroLicencia='1', paisExp=1, imagenLicencia=1, fechadeVencimiento=1], datosTarjetaCredito=DatosTarjetaCredito[numeroTarjeta='1', fechaVencimiento=1, cvv=1, banco=1]], conductorAdicional=null, sedeDevolucion=Sede[nombreSede='PRADO', ubicacion=CLL127, horariosAtencion=8:00-18:00], dias=1, seguro='123']
Alquiler[tipodeCarro='PEQUEÑO', sedeEntrega=Sede[nombreSede='PRADO', ubicacion=CLL127, horariosAtencion=8:00-18:00], cliente=Cliente[nombre='alejandrio', telefono=1, fechadeNacimiento=1, nacionalidad=1, documentodeIdentidad=1, datosLicencia=DatosLicencia[numeroLicencia='1', paisExp=1, imagenLicencia=1, fechadeVencimiento=1], datosTarjetaCredito=DatosTarjetaCredito[numeroTarjeta='1', fechaVencimiento=1, cvv=123, banco=nequiii]], conductorAdicional=null, sedeDevolucion=Sede[nombreSede='PRADO', ubicacion=CLL127, horariosAtencion=8:00-18:00], dias=1, seguro='1']
Alquiler[tipodeCarro='ELECTRICO', sedeEntrega=Sede[nombreSede='ROSALES', ubicacion=CLL85, horariosAtencion=8:00-18:00], cliente=Cliente[nombre='dasdas', telefono=dadas, fechadeNacimiento=dsasdas, nacionalidad=dasdas, documentodeIdentidad=dasdasd, datosLicencia=DatosLicencia[numeroLicencia='dsa', paisExp=dasasd, imagenLicencia=dasdas, fechadeVencimiento=dasasd], datosTarjetaCredito=DatosTarjetaCredito[numeroTarjeta='dadas', fechaVencimiento=dads, cvv=dassd, banco=dasd]], conductorAdicional=null, sedeDevolucion=Sede[nombreSede='ROSALES', ubicacion=CLL85, horariosAtencion=8:00-18:00], dias=4, seguro='1']
Alquiler[tipodeCarro='PEQUEÑOS', sedeEntrega=Sede[nombreSede='PRADO', ubicacion=CLL127, horariosAtencion=8:00-18:00], cliente=Cliente[nombre='dsadas', telefono=dsadas, fechadeNacimiento=sadas, nacionalidad=dasdasdas, documentodeIdentidad=asdasd, datosLicencia=DatosLicencia[numeroLicencia='adasdas', paisExp=dsadas, imagenLicencia=dsadsa, fechadeVencimiento=dsadas], datosTarjetaCredito=DatosTarjetaCredito[numeroTarjeta='dsadas', fechaVencimiento=asdasd, cvv=dasdas, banco=dasdsa]], conductorAdicional=null, sedeDevolucion=Sede[nombreSede='PRADO', ubicacion=CLL127, horariosAtencion=8:00-18:00], dias=4, seguro='1']
Alquiler[tipodeCarro='LUJO', sedeEntrega=Sede[nombreSede='PRADO', ubicacion=CLL127, horariosAtencion=8:00-18:00], cliente=Cliente[nombre='dsadas', telefono=dada, fechadeNacimiento=dadas, nacionalidad=dasd, documentodeIdentidad=dsadas, datosLicencia=DatosLicencia[numeroLicencia='dasdas', paisExp=dasdsa, imagenLicencia=dasdas, fechadeVencimiento=dasda], datosTarjetaCredito=DatosTarjetaCredito[numeroTarjeta='dasdas', fechaVencimiento=das, cvv=dasd, banco=sada]], conductorAdicional=null, sedeDevolucion=Sede[nombreSede='PRADO', ubicacion=CLL127, horariosAtencion=8:00-18:00], dias=4, seguro='5']
Alquiler[tipodeCarro='ELECTRICO', sedeEntrega=Sede[nombreSede='PRADO', ubicacion=CLL127, horariosAtencion=8:00-18:00], cliente=Cliente[nombre='dasdas', telefono=dsadsa, fechadeNacimiento=dasda, nacionalidad=dasdas, documentodeIdentidad=dsadas, datosLicencia=DatosLicencia[numeroLicencia='dasdas', paisExp=dasds, imagenLicencia=dasdas, fechadeVencimiento=asdasd], datosTarjetaCredito=DatosTarjetaCredito[numeroTarjeta='dads', fechaVencimiento=dsadas, cvv=dasd, banco=dads]], conductorAdicional=null, sedeDevolucion=Sede[nombreSede='PRADO', ubicacion=CLL127, horariosAtencion=8:00-18:00], dias=4, seguro='4']
Alquiler[tipodeCarro='PEQUENO', sedeEntrega=Sede[nombreSede='PRADO', ubicacion=CLL127, horariosAtencion=8:00-18:00], cliente=Cliente[nombre='dasds', telefono=dasdas, fechadeNacimiento=sadasda, nacionalidad=dasdas, documentodeIdentidad=sadasd, datosLicencia=DatosLicencia[numeroLicencia='dasdas', paisExp=dasdas, imagenLicencia=sdadas, fechadeVencimiento=dads], datosTarjetaCredito=DatosTarjetaCredito[numeroTarjeta='dads', fechaVencimiento=sadasd, cvv=dasdas, banco=dasda]], conductorAdicional=null, sedeDevolucion=Sede[nombreSede='PRADO', ubicacion=CLL127, horariosAtencion=8:00-18:00], dias=4, seguro='2']
Alquiler[tipodeCarro='pequeno', sedeEntrega=Sede[nombreSede='PRADO', ubicacion=CLL127, horariosAtencion=8:00-18:00], cliente=Cliente[nombre='dasd', telefono=dasdas, fechadeNacimiento=dasdas, nacionalidad=dasdas, documentodeIdentidad=dasdas, datosLicencia=DatosLicencia[numeroLicencia='dasdas', paisExp=dasdas, imagenLicencia=dasdas, fechadeVencimiento=dasda], datosTarjetaCredito=DatosTarjetaCredito[numeroTarjeta='dsads', fechaVencimiento=dasd, cvv=dasdas, banco=dasasd]], conductorAdicional=null, sedeDevolucion=Sede[nombreSede='PRADO', ubicacion=CLL127, horariosAtencion=8:00-18:00], dias=4, seguro='1']
